USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
450010,99999,CHEUNG CHAU,CH,,VHCH,+22.200,+114.017,+0079.0,19730101,19971223
450030,99999,TAI-O,CH,,,+22.250,+113.850,+0076.0,19770514,20020820
450040,99999,KOWLOON,CH,,,+22.312,+114.173,+0066.4,19791102,19971231
450050,99999,HONG KONG OBSERVATORY,CH,,,+22.300,+114.167,+0062.0,19460901,20180930
450060,99999,GREEN ISLAND,CH,,,+22.283,+114.117,+0076.0,20010707,20010707
450090,99999,TAI MO SHAN,CH,,,+22.417,+114.117,+0947.0,19471231,19560331
450100,99999,TATE'S CAIRN,CH,,,+22.367,+114.217,+0576.0,20011226,20011226
450320,99999,TA KWU LING,CH,,,+22.533,+114.150,+0013.0,19921204,20230630
450330,99999,KAT O,CH,,,+22.533,+114.300,+0010.0,19921204,19990604
450340,99999,TAI MEI TUK,CH,,,+22.483,+114.233,+0053.0,19921204,20230319
450350,99999,LAU FAU SHAN,CH,,,+22.467,+113.983,+0035.0,20040713,20230630
450390,99999,SHA TIN,CH,,,+22.400,+114.200,+0008.0,20040713,20230630
450410,99999,TSEUNG KAWN O,CH,,,+22.317,+114.250,+0032.0,20040604,20040604
450440,99999,CHEUNG CHAU,CH,,,+22.200,+114.017,+0079.0,20020313,20230630
450450,99999,WAGLAN ISLAND,CH,,,+22.183,+114.300,+0060.0,20040122,20230630
465890,99999,HSIA-TA-CHEN SHAN CHINA SEA,CH,,,+28.417,+121.917,+0035.7,19540516,19550131
470311,99999,MEILAN,CH,,ZJHK,+19.935,+110.459,+0022.9,20040706,20230630
470312,99999,ZHENGDING,CH,,ZBSJ,+38.281,+114.697,+0071.0,20040706,20230630
501360,99999,MOHE,CH,,,+52.967,+122.533,+0438.0,19730101,20230630
502460,99999,TA-HE,CH,,,+52.333,+124.800,+0465.0,19730101,20070727
503490,99999,JIU-HAI-LAI,CH,,,+51.133,+124.050,+0610.0,19730105,20020513
503530,99999,HUMA,CH,,,+51.733,+126.633,+0175.6,19560820,20230630
504250,99999,SAN-HE,CH,,,+50.500,+120.067,+0671.0,19570601,19971231
504340,99999,TULIHE,CH,,,+50.450,+121.700,+0733.0,19570531,20230630
504420,99999,XIAO-YANG-QI,CH,,,+50.800,+124.283,+0549.0,19730313,20020513
504680,99999,AIHUI,CH,,,+50.250,+127.450,+0166.0,19610801,20230630
505140,99999,MAN-ZHOU-LI,CH,,,+49.550,+117.467,+0710.0,19581002,19971027
505270,99999,HAILAR,CH,,,+49.250,+119.700,+0650.0,19560820,20230630
